物件種別,物件コード,問合せコード,外部物件区分,外部物件コード,現況,公開状態,エラー,賃料,間取,所在階,築年月,物件名,フリガナ,所在地,管理費,共益費,敷金,礼金,保証金,敷引,更新料,面積（土地）,面積（専有）,坪数(代表),坪単価(代表),物件確認日,登録日,更新日,自社先物,取引態様,業者名,元付担当者,TEL,駐車場,物件メモ,郵便番号
倉庫,R00177-004423,,,,空,アーカイブ(成約),無,770000,,階,1999年02月,熊本県熊本市南区江越2丁目の貸倉庫・事務所【83坪】,,熊本県熊本市南区江越２丁目7-5,,,3.00,,,,,483.00,277.05,83.8,9188,2026/02/20,"2026/02/19 16:03","2026/02/20 14:45",先物(仲介),,（株）ハイコム　不動産事業部,-,"=""096-383-2112""",空有,,8600834
倉庫,R00177-004422,,,,空,公開可,無,660000,,階,1986年05月,熊本県熊本市東区下南部3丁目の貸倉庫【422坪】,,熊本県熊本市東区下南部３丁目10-26,,,2.00,1.00,,,,,1397.60,422.77,1562,2026/06/26,"2026/02/19 10:38","2026/02/19 17:05",先物(仲介),,御領開発株式会社,-,"=""096-389-1110""",空有,,8618019
倉庫,R00177-004389,,,,居住中,アーカイブ(成約),無,363000,,階,1983年03月,福岡県大野城市御笠川2丁目の貸倉庫【59坪】,,福岡県大野城市御笠川２丁目5-5,,,3.00,,,,,,198.00,59.89,6061,2026/02/19,"2026/01/19 15:02","2026/02/19 13:59",先物(仲介),,不動産サービス福岡（株）,-,"=""092-595-8830""",空有,,8160912
倉庫,R00177-004074,,,,築後未入居,アーカイブ(成約),無,468270,,階,2025年02月,福岡県福岡市博多区東那珂2丁目の貸倉庫・事務所【38坪】,,福岡県福岡市博多区東那珂２丁目4-41,,,5.00,,,,,,128.24,38.79,12072,2026/01/23,"2025/01/08 12:01","2026/02/18 18:03",先物(仲介),,株式会社大井不動産,-,"=""092-524-0111""",空有,内覧立ち合い,8120892
店舗事務所(建物一部),R00177-004285,,,,空,アーカイブ(成約),無,2200000,,階,1988年01月,福岡県福岡市博多区千代5丁目の貸店舗・事務所【278坪】,,福岡県福岡市博多区千代５丁目3-19,,,12.00,,,,,,920.99,278.59,7897,2026/01/23,"2025/08/25 10:09","2026/02/18 17:57",先物(仲介),,九州リアルティ・アソシエイツ(株),-,"=""092-473-6011""",空有,"1-2階部分
検査済み無し
3階駐車スペースあるが、カーリフト壊れてるため使用不可
",8120044
店舗事務所(建物一括),R00177-004332,,,,空,アーカイブ(成約),無,297000,,階,2013年09月,福岡県北九州市小倉南区東貫2丁目の貸店舗・事務所【15坪】,,福岡県北九州市小倉南区東貫２丁目15-22,,,3.00,,,,,387.00,49.68,15.02,19763,2026/01/23,"2025/10/28 13:15","2026/02/18 17:40",先物(仲介),,（株）よかタウン,-,"=""092-292-9019""",空有,,8000224
貸地,R00177-004379,,,,更地,アーカイブ(成約),無,360000,,階,-,福岡県糟屋郡久山町大字山田の貸地【362坪】,,福岡県糟屋郡久山町大字山田2296-8,,,5.00,1.00,,,,1198.10,,362.42,994,2026/02/17,"2026/01/05 10:12","2026/02/17 14:47",先物(仲介),,（株）岩住,-,"=""092-931-2800""",,電気・上水道引込あり、プレハブは撤去,8112502
店舗事務所(建物一括),R00177-004380,,,,使用中,アーカイブ(成約),無,550000,,階,2005年01月,福岡県福岡市西区今宿駅前1丁目の貸店舗・事務所【49坪】,,福岡県福岡市西区今宿駅前１丁目9-2,,,3.00,1.00,,,,773.37,165.19,49.96,11007,2026/02/16,"2026/01/05 11:18","2026/02/16 14:00",先物(仲介),,（株）住吉ハウジング,-,"=""092-843-6123""",空有,,8190168
倉庫,R00177-003930,,,,空,アーカイブ(成約),無,181500,,階,2024年08月,長崎県長崎市京泊3丁目の貸倉庫・事務所【100坪】,,長崎県長崎市京泊３丁目7-20,,,2.00,,,2.00,,1332.70,332.33,100.52,1806,2026/01/20,"2024/08/22 11:50","2026/02/13 10:21",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP長崎Ⅱ　A棟3号室,8512211
倉庫,R00177-004321,,,,空,アーカイブ(成約),無,863000,,階,1996年11月,福岡県大野城市仲畑2丁目の貸倉庫【189坪】,,福岡県大野城市仲畑２丁目11-20,,,2.00,1.00,,,,1004.30,626.00,189.36,4558,2026/02/12,"2025/10/16 11:18","2026/02/12 15:05",先物(仲介),,（株）ｅｓｔアドバイザリーサービス,-,"=""092-724-8338""",空有,"仲介中

元自動車整備工場、倉庫内に塗装ブース残置、オーナー撤去可能
作業場で登録、倉庫業で使う場合は用途変更必要
自社の製品等置くのであれば用途変更必要なし

隣地、砂利敷駐車場、別途賃料必要、元付違うところ",8160921
店舗事務所(建物一部),R00177-004399,,,,居住中,アーカイブ(成約),無,187000,,階,2021年01月,福岡県春日市下白水北3丁目の貸店舗・事務所【14坪】,,福岡県春日市下白水北３丁目82-1,,,6.00,,,,,,46.40,14.03,13323,2026/02/10,"2026/01/27 10:23","2026/02/10 17:21",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア春日Ⅳ　1F,8160854
倉庫,R00177-004382,,,,空,アーカイブ(成約),無,250000,,階,1970年12月,福岡県福岡市博多区西月隈1丁目の貸倉庫【89坪】,,福岡県福岡市博多区西月隈１丁目2-21,,,1.00,,,,,,297.52,89.99,2778,2026/01/08,"2026/01/08 14:57","2026/02/09 10:14",先物(仲介),,新出光不動産（株）,-,"=""092-262-5422""",空有,,8120857
倉庫,R00177-004410,,,,空,公開可,無,990000,,階,1992年05月,福岡県北九州市若松区北湊町の貸事務所【258坪】,,福岡県北九州市若松区北湊町9-1,,,,3.00,,,,2136.35,855.14,258.67,3828,2026/06/24,"2026/02/04 16:09","2026/02/04 16:22",先物(仲介),,（株）ｔｏｂｉｒａ,-,"=""093-742-3993""",空有,,8080027
倉庫,R00177-004395,,,,居住中,アーカイブ(成約),無,385000,,階,1977年12月,福岡県福岡市西区上山門3丁目の貸倉庫・事務所【88坪】,,福岡県福岡市西区上山門３丁目16-50,,,3.00,,,,,,291.06,88.04,4373,2026/01/30,"2026/01/23 11:12","2026/02/03 16:51",先物(仲介),,（株）ハローグッバイ,-,"=""092-553-5533""",空有,"未登記部分あり（ショールーム・道路側倉庫部分）
倉庫側、第二種住居地域
1/30物確
※現在オーナー様にて営業中、既に2件の内覧が済んでおり2社とも申込出すと言っているとの事。
他にも内覧予定があり今回で5社目、ふれんずの掲載は落としており、今回分くらいで目途をつけて申込が出た中から選定予定との事で先着順ではない",8190054
倉庫,R00177-004103,,,,築後未入居,アーカイブ(成約),無,1105500,,階,2024年05月,熊本県菊池市泗水町吉富の貸倉庫【225坪】,,熊本県菊池市泗水町吉富3031,,,3.00,1.00,,,1.00,1289.00,746.20,225.72,4898,2025/11/17,"2025/02/03 11:01","2026/01/27 17:55",先物(仲介),,株式会社フジ開発,-,"=""096-345-1800""",,"内覧立ち合い（担当：うえだ様）
※売買も同時募集中で、自社使用での買い付けが入った場合は売却優先になる可能性あり",8611201
倉庫,R00177-004081,,,,居住中,アーカイブ(成約),無,440000,,階,2006年12月,福岡県京都郡苅田町鳥越町の貸倉庫・事務所【72坪】,,福岡県京都郡苅田町鳥越町10-25,,,2.00,,,,,787.52,240.79,72.83,6041,2025/11/18,"2025/01/14 11:32","2026/01/27 17:38",先物(仲介),,株式会社ミクニ,-,"=""093-541-0392""",空有,"住所：鳥越町10-25の隣
仲介手数料 折半",8000304
倉庫,R00177-004309,,,,居住中,公開可,無,400000,,階,1972年10月,福岡県八女郡広川町大字日吉の貸倉庫・工場【117坪】,,福岡県八女郡広川町大字日吉476,,,1.00,,,,,3695.78,731.12,221.16,1809,2026/06/25,"2025/09/26 14:46","2026/01/27 17:18",先物(仲介),,若菜エステート株式会社,-,"=""0942-30-7555""",空有,,8340111
倉庫,R00177-004211,,,,空,アーカイブ(成約),無,390000,,階,1972年01月,福岡県朝倉郡筑前町依井の貸倉庫【165坪】,,福岡県朝倉郡筑前町依井1906-1,,,2.00,1.00,,,,,547.04,165.47,2357,2025/11/17,"2025/05/13 12:39","2026/01/27 16:51",先物(仲介),,青山地建（株）,-,"=""092-924-4111""",空有,元付変更あり,8380813
倉庫,R00177-004057,,,,空,アーカイブ(成約),無,550000,,階,1995年01月,福岡県遠賀郡水巻町頃末北4丁目の貸倉庫・事務所【93坪】,,福岡県遠賀郡水巻町頃末北４丁目5-27,,,6.00,,,,,,307.70,93.07,5909,2025/11/17,"2024/12/11 14:54","2026/01/27 16:46",先物(仲介),,（株）コミュニティサービス,-,"=""092-738-5777""",空有,,8070022
倉庫,R00177-004330,,,,建築中,アーカイブ(成約),無,214500,,階,2026年01月,福岡県那珂川市恵子3丁目の貸倉庫・事務所【26坪】,,福岡県那珂川市恵子３丁目134-1,,,2.00,,,,,,86.90,26.28,8160,2025/11/17,"2025/10/23 14:26","2026/01/27 16:41",先物(仲介),,(株)ネクステップ,-,"=""092-953-3040""",空有,えこ,8111255
店舗事務所(建物一部),R00177-004289,,,,空,アーカイブ(成約),無,561000,,階,2021年10月,福岡県春日市星見ヶ丘5丁目の貸店舗・事務所【36坪】,,福岡県春日市星見ヶ丘５丁目248-1,,5000,6.00,1.00,,,,,119.17,36.04,15563,2025/12/05,"2025/08/28 12:08","2026/01/27 13:53",先物(仲介),,株式会社立地ライズ,-,"=""092-292-5681""",空有,,8160849
倉庫,R00177-004365,,,,空,アーカイブ(成約),無,380000,,階,2001年06月,福岡県筑紫野市大字永岡の貸倉庫【60坪】,,福岡県筑紫野市大字永岡1559-1,,,3.00,,,,,,199.98,60.49,6282,2025/12/08,"2025/12/08 11:54","2026/01/27 13:48",先物(仲介),,青山地建（株）,-,"=""092-924-4111""",空有,,8180066
倉庫,R00177-004368,,,,空,アーカイブ(成約),無,440000,,階,1981年07月,福岡県飯塚市花瀬の貸倉庫【144坪】,,福岡県飯塚市花瀬70,,,3.00,2.00,,,,1603.00,476.41,144.11,3054,2025/12/15,"2025/12/15 11:55","2026/01/26 17:10",先物(仲介),,(有)あんしん,-,"=""0948-21-1155""",空有,,8200045
店舗事務所(建物一括),R00177-004331,,,,空,アーカイブ(成約),無,290000,,1階,2010年06月,福岡県久留米市山川追分2丁目の貸店舗・事務所【75坪】,,福岡県久留米市山川追分２丁目6-51,,,3.00,,,,,,248.00,75.02,3866,2025/12/05,"2025/10/28 11:25","2026/01/26 16:54",先物(仲介),,西日本産業（株）Ｓｍｉｌｅ　Ｈｏｍｅ　Ｔｏｗｎ,-,"=""0942-39-5727""",空有,グランクリュ山川,8390814
店舗事務所(建物一括),R00177-003976,,,,空,アーカイブ(成約),無,550000,,階,2013年05月,福岡県久留米市善導寺町与田の貸店舗・事務所【47坪】,,福岡県久留米市善導寺町与田155-7,,,10.00,,,,,1515.50,157.00,47.49,11581,2025/12/05,"2024/10/02 11:36","2026/01/26 16:49",先物(仲介),,株式会社立地ライズ,-,"=""092-292-5681""",空有,"2/13物確：空き、即引き渡し可（現況スケルトン）過去浸水歴なし
前テナント：うどん屋",8390823
倉庫,R00177-004362,,,,居住中,アーカイブ(成約),無,455000,,階,1985年08月,福岡県福岡市早良区原1丁目の貸倉庫【119坪】,,福岡県福岡市早良区原１丁目11-11,,,2481960,,,,,,396.00,119.79,3799,2025/12/18,"2025/12/01 10:29","2026/01/26 16:47",先物(仲介),,株式会社三好不動産,-,"=""092-716-5000""",空有,"㈱大野紙器2
前面駐車スペース使用可（5台程度）
トイレ・空調なし
倉庫利用のみ",8140022
店舗事務所(建物一括),R00177-004350,,,,空,アーカイブ(成約),無,275000,,階,1980年06月,福岡県福岡市早良区有田7丁目の貸店舗・事務所【42坪】,,福岡県福岡市早良区有田７丁目19-35,,,3.00,,,3.00,,,142.00,42.95,6403,2025/11/20,"2025/11/20 12:02","2026/01/26 16:45",先物(仲介),,三幸不動産,-,"=""092-885-8500""",無,,8140033
店舗事務所(建物一部),R00177-004333,,,,空,アーカイブ(成約),無,220000,,1階,1988年09月,福岡県福岡市城南区神松寺1丁目の貸店舗・事務所【31坪】,,福岡県福岡市城南区神松寺１丁目21-13,,,3.00,1.00,,,,,104.37,31.57,6969,2025/12/05,"2025/10/29 11:13","2026/01/26 16:32",先物(仲介),,オフィスネットワーク(株),-,"=""092-452-5111""",空有,,8140121
倉庫,R00177-004308,,,,空,アーカイブ(成約),無,350000,,階,2005年02月,福岡県福岡市南区三宅3丁目の貸倉庫・工場【37坪】,,福岡県福岡市南区三宅３丁目11-22,,,3.00,1.00,,,16500,,125.48,37.95,9221,2026/01/26,"2025/09/25 09:55","2026/01/26 16:31",先物(仲介),,（株）アイムホーム,-,"=""092-555-4813""",空有,,8111344
倉庫,R00177-004360,,,,居住中,アーカイブ(成約),無,275000,,階,1982年05月,福岡県大野城市中1丁目の貸倉庫【29坪】,,福岡県大野城市中１丁目2-20,,,4.00,,,,1.00,264.00,99.00,29.94,9183,2026/01/26,"2025/11/28 12:01","2026/01/26 15:22",先物(仲介),,昭和地所開発株式会社,-,"=""092-504-0088""",空有,,8160906
店舗事務所(建物一括),R00177-004370,,,,居住中,アーカイブ(成約),無,495000,,階,1988年11月,福岡県那珂川市松木3丁目の貸店舗・事務所【69坪】,,福岡県那珂川市松木３丁目2,,,6.00,1.00,,,30000,,230.97,69.86,7085,2026/01/26,"2025/12/16 16:19","2026/01/26 14:08",先物(仲介),,APAMAN（株）九州支社,-,"=""092-433-8522""",無,"児島貸店舗 0101",8111251
倉庫,R00177-004388,,,,空,公開可,無,500000,,階,1990年03月,福岡県福岡市博多区立花寺2丁目の貸倉庫・事務所【125坪】,,福岡県福岡市博多区立花寺２丁目20-1,,,1.00,2.00,,,,493.23,415.32,125.63,3980,2026/06/24,"2026/01/19 11:26","2026/01/23 18:30",先物(仲介),,三真不動産株式会社,-,"=""092-836-5105""",空有,,8120862
店舗事務所(建物一部),R00177-004286,,,,空,アーカイブ(成約),無,198000,,階,2019年06月,福岡県福岡市博多区那珂4丁目の貸店舗・事務所【15坪】,,福岡県福岡市博多区那珂４丁目14-25,,,5.00,1.00,,,,,51.00,15.42,12835,2025/12/04,"2025/08/26 09:34","2026/01/23 17:58",先物(仲介),,（株）三和地所,-,"=""092-431-4488""",空有,"駐車場はお客様専用駐車場のため
従業員やスタッフは駐車できない",8120893
倉庫,R00177-004351,,,,居住中,アーカイブ(成約),無,445795,,階,2020年02月,福岡県福岡市博多区榎田2丁目の貸倉庫・事務所【42坪】,,福岡県福岡市博多区榎田２丁目3-55,,,8.00,,,,,,141.03,42.66,10450,2025/11/20,"2025/11/20 13:37","2026/01/23 17:15",先物(仲介),,株式会社理創,-,"=""092-461-2333""",空有,"クレール福岡　5号室
",8120004
店舗事務所(建物一部),R00177-004234,,,,居住中,アーカイブ(成約),無,363000,,階,1993年07月,福岡県福岡市東区八田2丁目の貸店舗・事務所【43坪】,,福岡県福岡市東区八田２丁目16-25,,,3.00,,,,,,144.00,43.56,8334,2025/12/04,"2025/06/16 11:37","2026/01/23 16:59",先物(仲介),,舞松原不動産（株）本店,-,"=""092-671-7171""",,,8130031
倉庫,R00177-004022,,,,空,アーカイブ(成約),無,770000,,6階,1983年10月,福岡県福岡市東区多の津4丁目の貸倉庫【161坪】,,福岡県福岡市東区多の津４丁目5-12,,16500,1.00,1.00,,,,,532.31,161.02,4782,2025/11/26,"2024/11/07 12:02","2026/01/23 16:58",先物(仲介),,（株）Ｒｅｖｏ,-,"=""092-409-4398""",空有,LIZビル　6F,8130034
店舗事務所(建物一部),R00177-004242,,,,空,アーカイブ(成約),無,303600,,階,1993年09月,福岡県糟屋郡粕屋町長者原東6丁目の貸店舗・事務所【27坪】,,福岡県糟屋郡粕屋町長者原東６丁目15-12,,10000,6.00,,,,,,91.08,27.55,11020,2026/01/22,"2025/06/25 11:24","2026/01/22 17:26",先物(仲介),,株式会社ハウスメイトショップ　箱崎駅前店,-,"=""092-645-1166""",空有,ツインリー102,8112317
倉庫,R00177-004069,,,,使用中,アーカイブ(成約),無,4950000,,階,2017年05月,福岡県宮若市小伏の貸倉庫【989坪】,,福岡県宮若市小伏1592-1,,,,,,,,5182.24,3270.80,989.41,5003,2026/01/19,"2024/12/25 11:00","2026/01/19 17:10",自社,,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",空有,オーナー反響：エーケーカンパニー様,8220132
店舗事務所(建物一部),R00177-004328,,,,空,アーカイブ(成約),無,330000,,1階,1996年04月,福岡県太宰府市水城2丁目の貸店舗・事務所【37坪】,,福岡県太宰府市水城２丁目31-13,,,10.00,,,,,,122.47,37.04,8908,2026/01/14,"2025/10/22 15:28","2026/01/14 10:43",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,,8180131
貸地,R00177-004300,,,,更地,アーカイブ(成約),無,3370650,,階,-,福岡県福岡市中央区那の津5丁目の貸地【754坪】,,福岡県福岡市中央区那の津５丁目3,,,12.00,,,,,2493.00,,754.13,4470,2026/01/09,"2025/09/09 15:37","2026/01/09 17:30",先物(仲介),,（株）トリビュート,-,"=""092-292-2313""",,,8100071
倉庫,R00177-004236,,,,空,アーカイブ(成約),無,180000,,階,2025年05月,福岡県北九州市八幡西区町上津役西4丁目の貸倉庫・事務所【25坪】,,福岡県北九州市八幡西区町上津役西４丁目7-23,,,2.00,,,,,140.00,84.94,25.69,7006,2025/12/04,"2025/06/17 11:28","2026/01/05 16:34",先物(仲介),,きくち不動産,-,"=""093-592-6565""",空有,オフィスアス町上津役西（まちこうじゃくにし）,8070074
倉庫,R00177-004101,,,,建築中,アーカイブ(成約),無,330000,,階,2025年10月,山口県下関市清末千房2丁目の貸倉庫・事務所【50坪】,,山口県下関市清末千房２丁目46-1,,,6.00,,,,,993.81,166.11,50.24,6568,2025/10/06,"2025/01/30 17:38","2026/01/05 08:18",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア下関Ⅱ　4号室,7501163
倉庫,R00177-004106,,,,建築中,アーカイブ(成約),無,344520,,階,2025年12月,福岡県大野城市御笠川3丁目の貸倉庫・事務所【39坪】,,福岡県大野城市御笠川３丁目3-7,,,6.00,,,,,918.00,129.20,39.08,8816,2025/03/12,"2025/02/06 14:34","2025/12/23 10:16",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア御笠川15　1号室,8160912
倉庫,R00177-004108,,,,建築中,アーカイブ(成約),無,440000,,階,2025年12月,福岡県大野城市御笠川3丁目の貸倉庫・事務所【47坪】,,福岡県大野城市御笠川３丁目3-7,,,6.00,,,,,918.00,158.40,47.91,9183,2025/03/12,"2025/02/06 15:05","2025/12/23 10:15",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア御笠川15　3号室,8160912
倉庫,R00177-004109,,,,建築中,アーカイブ(成約),無,264000,,階,2025年12月,福岡県大野城市御笠川3丁目の貸倉庫・事務所【41坪】,,福岡県大野城市御笠川３丁目3-7,,,6.00,,,,,918.00,137.49,41.59,6348,2025/03/12,"2025/02/06 15:13","2025/12/23 10:14",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア御笠川15　4号室,8160912
倉庫,R00177-004366,,,,空,公開可,無,275000,,階,1990年10月,福岡県嘉麻市飯田の貸倉庫【48坪】,,福岡県嘉麻市飯田1004-14,,,6.00,,,,,1050.77,160.00,48.4,5682,2026/06/25,"2025/12/09 11:59","2025/12/22 16:31",先物(仲介),,舞松原不動産（株）本店,-,"=""092-671-7171""",空有,"建物未登記
売買あり：B00177-000416",8200501
倉庫,R00177-003933,,,,空,アーカイブ(成約),無,129250,,階,2024年08月,長崎県長崎市京泊3丁目の貸倉庫・事務所【71坪】,,長崎県長崎市京泊３丁目7-18,,,2.00,,,2.00,,1332.70,235.51,71.24,1815,2025/12/22,"2024/08/22 14:03","2025/12/22 12:00",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP長崎Ⅱ　B棟3号室,8512211
貸地,R00177-004359,,,,更地,アーカイブ(成約),無,450000,,階,-,福岡県糟屋郡篠栗町津波黒3丁目の貸地【384坪】,,福岡県糟屋郡篠栗町津波黒３丁目6-19,,,4.00,1.00,,,,1272.00,,384.78,1170,2025/12/19,"2025/11/28 10:48","2025/12/19 09:59",先物(仲介),,入江不動産株式会社,-,"=""092-933-0001""",,"地目：山林
12/19物確：オーナー都合により一旦募集停止中との事",8112415
倉庫,R00177-003971,,,,空,アーカイブ(成約),無,440000,,階,1992年02月,福岡県久留米市山川安居野3丁目の貸倉庫【110坪】,,福岡県久留米市山川安居野３丁目11-20,,,3.00,,,,,470.84,363.64,110,4000,2025/12/15,"2024/09/27 15:30","2025/12/15 12:54",自社,,株式会社センチュリーダイソー　福岡支店,中村,"=""092-409-0188""",空有,部分貸し　A区画（1-2F倉庫のみ）,8390812
倉庫,R00177-004306,,,,空,アーカイブ(成約),無,990000,,階,1967年06月,福岡県北九州市小倉南区下城野1丁目の貸倉庫・事務所【208坪】,,福岡県北九州市小倉南区下城野１丁目17-37,,,3.00,2.00,,,,1778.00,688.00,208.12,4757,2025/12/11,"2025/09/19 16:53","2025/12/11 11:17",先物(仲介),,?縣産業株式会社,-,"=""093-923-0130""",空有,普通借は応相談、5年未満の短期不可,8020804
倉庫,R00177-004297,,,,空,アーカイブ(成約),無,253000,,階,1989年03月,福岡県福岡市東区馬出4丁目の貸倉庫【37坪】,,福岡県福岡市東区馬出４丁目1-38,,10000,3.00,1.00,,,,,122.35,37.01,6836,2025/11/13,"2025/09/05 12:06","2025/12/05 13:29",先物(仲介),,（株）県庁前不動産,-,"=""092-643-5966""",空有,"未登記物件（税金は支払いしてる）
2Fのみ
1Fはオーナー使用（リサイクル業）トイレは2Fに無いため1F共用
内覧：鍵預り",8120054
倉庫,R00177-004206,,,,居住中,アーカイブ(成約),無,280500,,階,2016年09月,福岡県大野城市仲畑1丁目の貸倉庫・事務所【36坪】,,福岡県大野城市仲畑１丁目10-9,,,8.00,1.00,,,,,120.25,36.37,7712,2025/11/14,"2025/05/08 11:35","2025/12/05 11:59",先物(仲介),,株式会社立地ライズ,-,"=""092-292-5681""",空有,オフィスアーク空港南　3・4号室,8160921
倉庫,R00177-004254,,,,空,アーカイブ(成約),無,495000,,階,2025年08月,福岡県大野城市御笠川2丁目の貸倉庫・事務所【52坪】,,福岡県大野城市御笠川２丁目8-15,,,6.00,,,,,231.25,173.00,52.33,9459,2025/11/14,"2025/07/09 14:45","2025/12/05 11:57",先物(仲介),,コミュニケーション･クリエイト,-,"=""092-643-7741""",空有,,8160912
倉庫,R00177-004220,,,,居住中,アーカイブ(成約),無,450000,,階,1969年09月,福岡県北九州市八幡西区夕原町の貸倉庫・工場【59坪】,,福岡県北九州市八幡西区夕原町11-2,,,1350000,1.00,,,,,197.75,59.81,7523,2025/11/13,"2025/05/29 09:45","2025/12/04 10:48",先物(仲介),,（有）三佳興産,-,"=""093-642-2342""",空有,,8070813
倉庫,R00177-003934,,,,築後未入居,アーカイブ(成約),無,473000,,階,2024年08月,長崎県長崎市京泊3丁目の貸倉庫・事務所【64坪】,,長崎県長崎市京泊３丁目7-18,,,3.00,,,3.00,,1332.70,212.31,64.22,7365,2025/12/03,"2024/08/22 14:48","2025/12/03 16:26",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP長崎Ⅱ　B棟4号室,8512211
倉庫,R00177-003931,,,,築後未入居,アーカイブ(成約),無,506000,,階,2024年08月,長崎県長崎市京泊3丁目の貸倉庫・事務所【78坪】,,長崎県長崎市京泊３丁目7-18,,,3.00,,,3.00,,1332.70,258.70,78.25,6466,2025/12/03,"2024/08/22 12:01","2025/12/03 16:24",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP長崎Ⅱ　B棟1号室,8512211
倉庫,R00177-004201,,,,空,アーカイブ(成約),無,411900,,階,2025年05月,福岡県福岡市博多区吉塚8丁目の貸倉庫・事務所【41坪】,,福岡県福岡市博多区吉塚８丁目2-15,,,8.00,,,,,,136.18,41.19,9999,2025/11/12,"2025/05/01 15:58","2025/12/02 17:17",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",空有,"オーナー反響：西日本新聞様
20251112現在　B棟2.3.4号室あき
吉塚スクエア　タイプ3（B棟7号室）",8120041
倉庫,R00177-004200,,,,空,アーカイブ(成約),無,422700,,階,2025年05月,福岡県福岡市博多区吉塚8丁目の貸倉庫・事務所【42坪】,,福岡県福岡市博多区吉塚８丁目2-15,,,8.00,,,,,,139.75,42.27,9999,2025/11/12,"2025/05/01 15:46","2025/12/02 17:16",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",空有,"オーナー反響：西日本新聞様
20251112現在　B棟2.3.4号室あき
吉塚スクエア　タイプ2（A棟4号室、B棟1号室）",8120041
店舗事務所(建物一括),R00177-004294,,,,空,アーカイブ(成約),無,330000,,階,1993年04月,福岡県朝倉郡筑前町朝日の貸店舗・事務所【48坪】,,福岡県朝倉郡筑前町朝日532-10,,,,,8.00,,,981.61,159.60,48.27,6836,2025/12/01,"2025/08/29 16:32","2025/12/01 09:44",先物(仲介),,（株）フロム・ゼロ,-,"=""03-6384-0200""",空有,仲介中,8380227
倉庫,R00177-003928,,,,空,アーカイブ(成約),無,148500,,階,2024年08月,長崎県長崎市京泊3丁目の貸倉庫・事務所【82坪】,,長崎県長崎市京泊３丁目7-20,,,2.00,,,2.00,,1332.70,273.05,82.59,1798,2025/11/18,"2024/08/22 11:34","2025/11/18 09:23",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,OP長崎Ⅱ　A棟1号室,8512211
倉庫,R00177-004263,,,,空,アーカイブ(成約),無,453530,,階,1990年05月,福岡県みやま市瀬高町本郷の貸倉庫【274坪】,,福岡県みやま市瀬高町本郷49-2,,,6.00,,,,,,908.61,274.85,1651,2025/10/08,"2025/07/22 12:13","2025/11/17 17:11",先物(仲介),,（株）ＡＪ・コーポレーション,-,"=""0942-42-3333""",空有,"浸水履歴1回あり
平成14年に堤防決壊、敷地内が浸水、倉庫内は無事
現在、堤防直しており、14年以降浸水なし
立ち合いにて内覧可、図面なし",8350021
倉庫,R00177-004305,,,,空,アーカイブ(成約),無,350000,,階,1981年12月,福岡県大野城市御笠川6丁目の貸倉庫・工場【44坪】,,福岡県大野城市御笠川６丁目6-10,,,4.00,,,,1.00,381.11,148.12,44.8,7812,2025/10/17,"2025/09/17 11:50","2025/11/17 17:05",先物(仲介),,昭和地所開発株式会社,-,"=""092-504-0088""",空有,,8160912
倉庫,R00177-004249,,,,居住中,アーカイブ(成約),無,286000,,階,1990年11月,福岡県大野城市御笠川5丁目の貸倉庫・事務所【42坪】,,福岡県大野城市御笠川５丁目3-7,,,6.00,1.00,,,11000,,139.20,42.1,6793,2025/10/08,"2025/07/01 14:55","2025/11/14 18:14",先物(仲介),,(株)泰山タイザンホーム薬院店,-,"=""092-781-7755""",空有,パックス御笠川　1号室,8160912
倉庫,R00177-004257,,,,空,アーカイブ(成約),無,220000,,階,1980年01月,福岡県久留米市山川沓形町の貸倉庫【59坪】,,福岡県久留米市山川沓形町1-18,,,2.00,,,,,,195.88,59.25,3713,2025/10/08,"2025/07/14 10:19","2025/11/14 17:43",先物(仲介),,（有）豊福外森不動産,-,"=""0942-43-3437""",空有,くつがたまち,8390815
倉庫,R00177-004140,,,,空,公開可,無,306900,,階,2025年09月,福岡県久留米市御井旗崎3丁目の貸倉庫・事務所【42坪】,,福岡県久留米市御井旗崎３丁目5-1,,,8.00,1.00,,,,,139.50,42.19,7273,2026/06/24,"2025/02/28 16:53","2025/11/14 17:41",先物(仲介),,株式会社立地ライズ,-,"=""092-292-5681""",空有,BLESS久留米Ⅱ　Bタイプ,8390841
