暔審庬暿,暔審僐乕僪,栤崌偣僐乕僪,奜晹暔審嬫暘,奜晹暔審僐乕僪,尰嫷,岞奐忬懺,僄儔乕,捓椏,娫庢,強嵼奒,抸擭寧,暔審柤,僼儕僈僫,強嵼抧,娗棟旓,嫟塿旓,晘嬥,楃嬥,曐徹嬥,晘堷,峏怴椏,柺愊乮搚抧乯,柺愊乮愱桳乯,捸悢(戙昞),捸扨壙(戙昞),暔審妋擣擔,搊榐擔,峏怴擔,帺幮愭暔,庢堷懺條,嬈幰柤,尦晅扴摉幰,TEL,挀幵応,暔審儊儌,梄曋斣崋
憅屔,R00175-015060,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,385000,,奒,1982擭11寧,嶄巗杒嬫怴嬥壀挰5挌偺戄憅屔亂69捸亃,,戝嶃晎嶄巗杒嬫怴嬥壀挰俆挌7-408,,,2.00,2.00,,,,339.41,229.42,69.39,5548,2025/11/17,"2025/10/08 14:54","2026/01/15 14:14",愭暔(拠夘),,僗儈儗晄摦嶻姅幃夛幮,-,"=""072-255-3535""",嬻桳,"2026.1.15丂彜択拞(2斣庤晄壜)

2025.11.18
丒捓椏丗40.7枩墌仺38.5枩墌",5918021
憅屔,R00175-014988,,,,嬻,傾乕僇僀僽(惉栺),柍,792000,,奒,1991擭01寧,嶄巗惣嬫朠搶挰7挌偺戄憅屔亂77捸亃,,戝嶃晎嶄巗惣嬫朠搶挰俈挌808-1,,,,,6.00,,,340.84,257.00,77.74,10188,2025/11/07,"2025/09/08 11:09","2026/01/15 14:12",愭暔(拠夘),,僗僞乕晄摦嶻姅幃夛幮,-,"=""0725-45-5050""",嬻桳,"
",5938324
憅屔,R00175-015007,,,,嬻,傾乕僇僀僽(惉栺),柍,462000,,奒,2019擭04寧,娸榓揷巗杸搾挰偺戄憅屔亂41捸亃,,戝嶃晎娸榓揷巗杸搾挰1054,,,5.00,1.00,,,,606.00,136.00,41.14,11230,2025/11/07,"2025/09/17 13:44","2026/01/15 14:12",愭暔(拠夘),,僗僞乕晄摦嶻姅幃夛幮,-,"=""0725-45-5050""",嬻桳,"
",5960806
憅屔,R00175-014176,,,,嬻,傾乕僇僀僽(惉栺),柍,864000,,1奒,1980擭09寧,戝嶃巗楺懍嬫栘捗愳1挌栚偺戄憅屔亂72捸亃,,戝嶃晎戝嶃巗楺懍嬫栘捗愳侾挌栚3-5,,12000,,,2828000,,,,239.40,72.41,11931,2025/11/17,"2024/09/05 13:54","2026/01/15 14:11",愭暔(拠夘),,僒儞僄僀晄摦嶻姅幃夛幮,-,"=""06-6567-7767""",,"2025.11.17丂惉栺仺暅妶

僱僢僩晄壜儘僕僐儘旕宖嵹儅僢僠儞僌偺傒",5560027
憅屔,R00175-015026,,,,,傾乕僇僀僽(惉栺),柍,1072500,,奒,-,戝嶃巗搶梽愳嬫惣扺楬6挌栚偺戄憅屔亂150捸亃,,戝嶃晎戝嶃巗搶梽愳嬫惣扺楬俇挌栚4-111,,,,,,,,,495.87,150,7150,2025/11/10,"2025/09/24 11:52","2026/01/15 13:55",愭暔(拠夘),,乮姅乯價儖僶儞僋,椦丂捈恖,"=""06-7637-6363""",嬻桳,"丒12崋
仸抧恾偼惓妋偱偼偁傝傑偣傫丅妋擣偍婅偄偟傑偡丅
暔妋FAX憲怣嵪 2025.11.7",5330031
憅屔,R00175-015032,,,,嬻,傾乕僇僀僽(惉栺),柍,465300,,奒,-,枼柺巗彫栰尨搶4挌栚偺戄憅屔亂77捸亃,,戝嶃晎枼柺巗彫栰尨搶係挌栚22-3,,,1850000,1400000,,,,,256.59,77.61,5995,2025/11/10,"2025/09/25 10:36","2026/01/15 13:48",愭暔(拠夘),,乮姅乯僐儉僴僂僗,-,"=""072-724-7041""",嬻桳,丒拞嬫夋,5620031
戄抧,R00175-013988,,,,,傾乕僇僀僽(惉栺),柍,385000,,奒,-,暫屔導恄屗巗暫屔嬫嶰愳岥挰1挌栚偺戄抧亂70捸亃,,暫屔導恄屗巗暫屔嬫嶰愳岥挰侾挌栚1-15,,,1.00,2.00,,,,233.60,,70.66,5449,2025/11/11,"2024/05/27 13:14","2026/01/15 13:47",愭暔(拠夘),,(姅)ReYZ,嵿揷(僞僇儔僟)丗080-2488-0888,"=""078-261-2668""",嬻桳,2025.8.4丂惉栺仺暅妶,6520815
戄抧,R00175-014857,,,,峏抧,岞奐壜,柍,500000,,奒,-,奓捤巗怷偺戄抧亂500捸亃,,戝嶃晎奓捤巗怷380-1,,,2.00,2.00,,,,1652.93,,500.01,1000,2026/07/06,"2025/07/01 15:20","2026/01/15 13:44",愭暔(拠夘),,(姅)傾乕僩儂乕儉,-,"=""072-428-2000""",,"2026.1.15丂
丒捓椏丗60枩墌仺50枩墌
仸HP宖嵹晄壜",5970044
戄抧,R00175-015227,,,,,傾乕僇僀僽(惉栺),柍,330000,,奒,-,朙拞巗棙憅2挌栚偺戄抧亂90捸亃,,戝嶃晎朙拞巗棙憅俀挌栚7,,,,1.00,2.00,,,299.00,,90.44,3649,2026/01/15,"2025/12/22 10:51","2026/01/15 10:56",愭暔(拠夘),,乮姅乯俠倰倕倎倲倕,-,"=""06-6836-9188""",,"丒応強丗僌乕僌儖儅僢僾偱偼丄棙憅2挌栚7-3乮暷戲朙拞塩嬈強乯偺撿懁
丒抧斣丗棙憅2挌栚70-1

2026.1.15丂
暔妋帪偵侾審怽崬偁傝丄怰嵏捠偭偰惉栺偵側傝偦偆偱偡偲丅
俀斣庤偼擄偟偄偲嬄偣丅",5610845
憅屔,R00175-015271,,,,巊梡拞,岞奐壜,柍,1056000,,1奒,1992擭01寧,彫栰巗暉廧挰偺戄憅屔亂298捸亃,,暫屔導彫栰巗暉廧挰586-102,,,3000000,2200000,,,,,988.00,298.87,3534,2026/07/03,"2026/01/14 13:56","2026/01/14 17:57",愭暔(拠夘),,崌摨夛幮偐偲偆晄摦嶻,-,"=""0795-48-5296""",,,6751309
憅屔,R00175-015268,,,,嬻,岞奐壜,柍,780200,,3奒,2021擭05寧,堬栘巗媨搰1挌栚偺戄憅屔亂82捸亃,,戝嶃晎堬栘巗媨搰侾挌栚2-1,,92180,,,6.00,,,,271.37,82.08,9505,2026/07/06,"2026/01/14 13:07","2026/01/14 14:43",愭暔(拠夘),,儀僗僩僆僼傿僗乮姅乯,-,"=""06-6121-6888""",嬻桳,丒A搹304,5670853
憅屔,R00175-015139,,,,嬻,岞奐壜,柍,300000,,奒,1980擭03寧,嶄巗惣嬫嶳揷3挌偺戄憅屔亂87捸亃,,戝嶃晎嶄巗惣嬫嶳揷俁挌987,,,,1.00,,,,404.00,290.16,87.77,3418,2026/06/29,"2025/11/11 14:16","2026/01/14 11:58",愭暔(拠夘),,桳尷夛幮僙僀儓乗,-,"=""0725-33-6050""",嬻桳,"2026.1.14丂
丒捓椏丗38.5枩墌仺30枩墌",5938316
戄抧,R00175-015204,,,,峏抧,傾乕僇僀僽(惉栺),柍,396000,,奒,-,嫗搒晎忛梲巗帥揷偺戄抧亂305捸亃,,嫗搒晎忛梲巗帥揷広屻66,,,792000,396000,,,,1010.00,,305.52,1297,2025/12/12,"2025/12/12 14:44","2026/01/13 14:59",愭暔(拠夘),,桳尷夛幮揷拞彜帠,-,"=""075-694-1133""",,"2026.1.13 彜択拞(2斣庤晄壜)",6100121
憅屔,R00175-015160,,,,嬻,傾乕僇僀僽(惉栺),柍,935000,,奒,1984擭06寧,暫屔導恄屗巗搶撳嬫嫑嶈撿挰6挌栚偺戄憅屔亂121捸亃,,暫屔導恄屗巗搶撳嬫嫑嶈撿挰俇挌栚10-4,,,5000000,2200000,,,,,400.00,121,7728,2026/01/13,"2025/11/19 12:33","2026/01/13 13:21",愭暔(拠夘),,姅幃夛幮僾儔僀儉僐僱僋僔儑儞,-,"=""078-822-1248""",,,6580025
岺応,R00175-015244,,,,,岞奐壜,桳,1210000,,1奒,1999擭01寧,嶄巗惣嬫旽栘4挌偺戄岺応亂264捸亃,,戝嶃晎嶄巗惣嬫旽栘係挌2790-1,,,2.00,1.10,,,,,875.37,264.79,4570,2026/07/17,"2026/01/05 11:15","2026/01/09 10:13",愭暔(拠夘),,乮姅乯傾僀丒僠傾,-,"=""06-6193-0222""",嬻桳,,5938315
憅屔,R00175-015241,,,,,岞奐壜,柍,605000,,奒,1985擭11寧,戝嶃巗惗栰嬫扚杒4挌栚偺戄憅屔亂156捸亃,,戝嶃晎戝嶃巗惗栰嬫扚杒係挌栚12-16,,,2.00,2.00,,,,198.35,517.30,156.48,3867,2026/07/24,"2025/12/25 10:18","2026/01/09 09:44",愭暔(拠夘),,姅幃夛幮僩僠僞僥價儖僨傿儞僌,埨搶,"=""06-6975-7780""",,,5440004
憅屔,R00175-015055,,,,嬻,傾乕僇僀僽(惉栺),柍,330000,,奒,2005擭01寧,撿壨撪孲懢巕挰戝帤懢巕偺戄憅屔亂84捸亃,,戝嶃晎撿壨撪孲懢巕挰戝帤懢巕2388-1,,,,,1500000,,,952.06,280.00,84.7,3897,2025/11/18,"2025/10/07 14:14","2026/01/07 18:05",愭暔(拠夘),,乮桳乯嬤婨僄僗僥乕僩,-,"=""072-958-2828""",嬻桳,"2025.11.18丂惉栺仺暅妶

2025.1.7 丂惉栺嵪傒丂乮徏杮妋擣乯",5830995
戄抧,R00175-014535,,,,峏抧,岞奐壜,柍,363000,,奒,-,嫗搒晎忛梲巗撧搰僼働偺戄抧亂228捸亃,,嫗搒晎忛梲巗撧搰僼働10-2,,,660000,726000,,,,757.00,,228.99,1586,2026/08/03,"2025/02/18 12:01","2026/01/07 10:53",愭暔(拠夘),,傕傝傗偡廧戭,-,"=""075-255-8550""",,"2026.1.7丂惉栺仺暅妶

2025.5.30丂婥偵擖傟偽忋壓悈摴丄抣抜岎徛桳",6100116
揦曑帠柋強(寶暔堦妵),R00175-014816,,,,嬻,岞奐壜,柍,880000,,奒,1984擭12寧,嶄巗惣嬫昹帥撿挰3挌偺戄揦曑丒帠柋強亂272捸亃,,戝嶃晎嶄巗惣嬫昹帥撿挰俁挌3-6,,,,2.00,2.00,,,762.00,901.39,272.67,3228,2026/06/11,"2025/06/19 11:18","2026/01/07 10:43",愭暔(拠夘),,乮姅乯倀俶俬俻倀俤,-,"=""0725-23-2150""",嬻桳,2026.1.7丂惉栺仺暅妶,5928344
戄抧,R00175-015149,,,,峏抧,傾乕僇僀僽(惉栺),柍,495000,,奒,-,塇塯栰巗塐堜3挌栚偺戄抧亂471捸亃,,戝嶃晎塇塯栰巗塐堜俁挌栚467-1,,,,,3.00,,,1558.00,,471.29,1051,2026/01/06,"2025/11/14 11:44","2026/01/06 17:51",愭暔(拠夘),,嫤塰抧寶姅幃夛幮,-,"=""072-938-6677""",,,5830851
揦曑帠柋強(寶暔堦妵),R00175-014695,,,,嬻,岞奐壜,柍,1980000,,奒,1998擭06寧,嫗搒晎嫗搒巗壓嫗嬫?徆挰偺戄揦曑丒帠柋強亂168捸亃,,嫗搒晎嫗搒巗壓嫗嬫崅捯捠幒挰惣擖斏徆挰295-5,,,,,6.00,,,283.83,558.17,168.84,11727,2026/06/08,"2025/05/09 14:09","2025/12/25 11:04",愭暔(拠夘),,捯晄摦嶻乮姅乯,-,"=""075-585-2540""",嬻桳,"2025.12.25丂惉栺仺暅妶

2025.10.30丂惉栺仺暅妶",6008433
戄抧,R00175-015193,,,,峏抧,傾乕僇僀僽(惉栺),柍,660000,,奒,-,戝嶃巗峘嬫攇彍1挌栚偺戄抧亂167捸亃,,戝嶃晎戝嶃巗峘嬫攇彍侾挌栚1-27,,,,,1500000,,,552.81,,167.22,3947,2025/12/05,"2025/12/05 13:12","2025/12/24 09:11",愭暔(拠夘),,懢梲廧戭乮姅乯,-,"=""06-6584-8931""",,"2025.12.24 怽偟崬傒偁傝乮2斣庤晄壜乯",5520001
憅屔,R00175-015173,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,330000,,1奒,1985擭08寧,暫屔導壛惣巗闓栰挰偺戄憅屔亂101捸亃,,暫屔導壛惣巗闓栰挰122,,,3.00,1.00,,,,2092.25,336.42,101.76,3243,2025/11/26,"2025/11/26 14:34","2025/12/23 17:02",愭暔(拠夘),,僋儗僔傾僄僗僥乕僩乮姅乯,-,"=""0790-33-9860""",,,6752103
揦曑帠柋強(寶暔堦妵),R00175-015205,,,,巊梡拞,岞奐壜,柍,880000,,奒,1999擭09寧,嫗搒晎嫗搒巗杒嬫忋夑栁屼墥岥挰偺戄揦曑丒帠柋強亂76捸亃,,嫗搒晎嫗搒巗杒嬫忋夑栁屼墥岥挰56,,,10.00,2.00,,,1.00,287.05,254.39,76.95,11436,2026/07/14,"2025/12/12 14:57","2025/12/23 09:34",愭暔(拠夘),,姅幃夛幮丂夒,-,"=""06-6536-8100""",嬻桳,,6038065
憅屔,R00175-014908,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,1650000,,奒,1989擭04寧,愹戝捗巗斅尨挰4挌栚偺戄憅屔亂381捸亃,,戝嶃晎愹戝捗巗斅尨挰係挌栚10-14,,,,,9900000,4950000,,933.33,1261.26,381.53,4325,2025/11/27,"2025/07/23 14:46","2025/12/22 17:37",愭暔(拠夘),,乮姅乯僐僗儌晄摦嶻忣曬丂撿戝嶃巟揦,-,"=""072-433-2580""",,,5950033
岺応,R00175-015196,,,,嬻,傾乕僇僀僽(惉栺),柍,330000,,1奒,1969擭10寧,奓捤巗彫悾偺戄岺応亂115捸亃,,戝嶃晎奓捤巗彫悾13-300,,,2.00,2.00,,,,577.84,380.67,115.15,2866,2025/12/09,"2025/12/09 11:52","2025/12/22 10:30",愭暔(拠夘),,惣扟彜帠乮姅乯,-,"=""072-427-0088""",嬻桳,"2025.12.22 丂彜択拞(2斣庤晄壜)

丒応強丗僌乕僌儖儅僢僾偱偼丄奓捤巗彫悾3挌栚13-300
乮帒椏廧強丗奓捤巗敿揷3挌栚13-4乯",5970021
憅屔,R00175-014940,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,1980000,,奒,2002擭08寧,嫗搒晎嫗搒巗暁尒嬫杒抂挰偺戄憅屔亂374捸亃,,嫗搒晎嫗搒巗暁尒嬫杒抂挰53,,,10800000,3960000,,,,1101.88,1238.78,374.73,5284,2025/09/03,"2025/08/07 13:34","2025/12/19 10:17",愭暔(拠夘),,姅幃夛幮僀儅僗丂棳捠帠嬈晹,-,"=""06-6209-7373""",嬻桳,"2025.12.19丂曱嶳屭媞偱惉栺

2025.10.9 曱嶳彜択拞",6128372
憅屔,R00175-014899,,,,嬻,傾乕僇僀僽(惉栺),柍,286000,,奒,-,搶戝嶃巗旽峕2挌栚偺戄憅屔亂47捸亃,,戝嶃晎搶戝嶃巗旽峕俀挌栚17-22,,,,,6.00,,,,157.50,47.64,6003,2025/12/04,"2025/07/23 11:36","2025/12/18 10:01",愭暔(拠夘),,懢峿栘壓寶愝姅幃夛幮,娭壀丗070-8681-0487,"=""06-4309-1111""",,"2025.10.2丂曄峏
丒捓椏丗33枩墌仺28.6枩墌(惻崬傒)

2025.12.18
惉栺嵪傒丂扴摉幰偵妋擣乮徏杮乯",5780984
憅屔,R00175-014948,,,,嬻,傾乕僇僀僽(惉栺),柍,340000,,奒,1972擭08寧,榓壧嶳導婭偺愳巗壓堜嶃偺攧憅屔亂123捸亃,,榓壧嶳導婭偺愳巗壓堜嶃517,,,,2.00,2.00,,,1149.30,408.67,123.62,2751,2025/10/24,"2025/08/19 16:12","2025/12/16 14:52",愭暔(拠夘),,倄俷俿俽倀俛俙丂崌摨夛幮,-,"=""079-666-8528""",嬻桳,,6496426
憅屔,R00175-014332,,,,嬻,傾乕僇僀僽(惉栺),柍,715000,,奒,-,榓壧嶳導榓壧嶳巗墫壆侾挌栚偺戄揦曑忣曬亂55捸亃,,榓壧嶳導榓壧嶳巗墫壆侾挌栚105-7,,,,,,,,1255.48,184.99,55.95,12778,2025/10/23,"2024/11/11 15:05","2025/12/16 14:52",愭暔(拠夘),,姅幃夛幮怷寬,-,"=""073-472-6974""",嬻桳,扴摉奜弌偺偨傔梉曽埲崀偱側偄偲妋擣偱偒側偄,6410054
憅屔,R00175-014932,,,,嬻,傾乕僇僀僽(惉栺),柍,300000,,奒,1986擭10寧,榓壧嶳導嫶杮巗崅栰岥挰墳懘偺戄憅屔亂220捸亃,,榓壧嶳導嫶杮巗崅栰岥挰墳懘100-26,,,,1.00,1.00,,,418.00,727.82,220.16,1363,2025/10/23,"2025/08/05 13:46","2025/12/16 14:52",愭暔(拠夘),,乮姅乯傒偢傕,-,"=""0736-26-4185""",,,6497201
戄抧,R00175-014099,,,,峏抧,傾乕僇僀僽(惉栺),柍,395000,,奒,-,榓壧嶳導娾弌巗惣栰偺戄抧亂119捸亃,,榓壧嶳導娾弌巗惣栰124-1,,,,,,,,395.73,,119.7,3300,2025/10/24,"2024/07/18 11:38","2025/12/16 14:51",愭暔(拠夘),,儔儞僪僔僗僥儉乮姅乯,-,"=""073-475-0770""",,丒廧強丗惣栰124-1丄127-1丄124-5,6496235
戄抧,R00175-015046,,,,峏抧,傾乕僇僀僽(惉栺),柍,330000,,奒,-,嫗搒晎嫗搒巗暁尒嬫戠岉棊曐挰偺戄抧亂157捸亃,,嫗搒晎嫗搒巗暁尒嬫戠岉棊曐挰7,,,,1.00,2.00,,,522.15,,157.95,2090,2025/10/02,"2025/10/02 10:33","2025/12/16 14:49",愭暔(拠夘),,乮姅乯俴倕倫倳倱丂俤倱倲倎倲倕,-,"=""075-778-0631""",,,6011338
憅屔,R00175-014251,,,,嬻,傾乕僇僀僽(惉栺),柍,440000,,奒,1976擭08寧,撧椙導媑栰孲戝梽挰戝帤斾慮偺戄憅屔亂213捸亃,,撧椙導媑栰孲戝梽挰戝帤斾慮1587-1,,55000,,2.00,,,,1319.00,706.00,213.56,2061,2025/10/20,"2024/10/08 14:19","2025/12/16 14:30",愭暔(拠夘),,乮姅乯僼傽僀僩,-,"=""06-4300-3124""",,2025.6丏10丂彜択拞,6393128
揦曑帠柋強(寶暔堦妵),R00175-013846,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,495000,,奒,2006擭01寧,戝嶃巗暯栰嬫塟攋1挌栚偺戄揦曑丒帠柋強亂63捸亃,,戝嶃晎戝嶃巗暯栰嬫塟攋侾挌栚7-18,,,1.00,3.00,,,,,210.73,63.74,7766,2025/10/24,"2024/03/18 11:56","2025/12/16 14:19",愭暔(拠夘),,乮姅乯働儞僩僐乕億儗乕僔儑儞丂儕儘偺捓戄丂抧壓揝暯栰揦,-,"=""06-6760-6200""",嬻桳,2025.10.24丂惉栺仺暅妶,5470024
戄抧,R00175-014100,,,,峏抧,傾乕僇僀僽(惉栺),柍,360000,,奒,-,堬栘巗廻愳尨挰偺戄抧亂179捸亃,,戝嶃晎堬栘巗廻愳尨挰20-13,,,1.00,2.00,,,,594.05,,179.7,2004,2025/10/20,"2024/07/18 11:47","2025/12/16 14:18",愭暔(拠夘),,乮姅乯僾儔僗儚儞,塱郪丂棽巙,"=""072-697-9996""",,,5670055
戄抧,R00175-014286,,,,峏抧,傾乕僇僀僽(惉栺),柍,300000,,奒,-,崅捨巗恵夑挰偺戄抧亂98捸亃,,戝嶃晎崅捨巗恵夑挰21,,,1.00,1.00,,,,324.00,,98.01,3061,2025/10/20,"2024/10/24 13:20","2025/12/16 14:17",愭暔(拠夘),,旙岥婎慴乮桳乯,-,"=""072-803-6127""",,丒廧強丗崅捨巗恵夑挰21斣奨嬫乮1044斣抧乯,5690022
揦曑(寶暔堦妵),R00175-014063,,,,嬻,傾乕僇僀僽(惉栺),柍,1485000,,奒,1976擭01寧,塇塯栰巗栰偺戄揦曑亂242捸亃,,戝嶃晎塇塯栰巗栰24,30000,,1.00,3.00,,,,494.00,803.12,242.94,6113,2025/10/20,"2024/07/04 13:31","2025/12/16 14:12",愭暔(拠夘),,"姅幃夛幮Home Quest 壨撪徏尨揦",-,"=""072-289-6324""",嬻桳,,5830884
憅屔,R00175-014827,,,,,傾乕僇僀僽(惉栺),柍,548598,,1奒,2017擭03寧,戝嶃巗掃尒嬫墶掔4挌栚偺戄憅屔亂71捸亃,,戝嶃晎戝嶃巗掃尒嬫墶掔係挌栚2-12,,,4.00,2.20,,,,,235.56,71.25,7699,2025/10/24,"2025/06/24 11:28","2025/12/16 14:11",愭暔(拠夘),,乮姅乯儘僕僼傽僋僞乕,-,"=""06-7712-8090""",嬻桳,,5380052
憅屔,R00175-015008,,,,嬻,傾乕僇僀僽(惉栺),柍,610500,,奒,-,戝嶃巗惣惉嬫揤壓拑壆搶2挌栚偺戄憅屔亂185捸亃,,戝嶃晎戝嶃巗惣惉嬫揤壓拑壆搶俀挌栚15-1,,,4.00,2.00,,,,1311.71,611.58,185,3300,2025/10/20,"2025/09/18 10:06","2025/12/16 14:11",愭暔(拠夘),,乮姅乯儘僕僼傽僋僞乕,-,"=""06-7712-8090""",,,5570011
岺応,R00175-015027,,,,嫃廧拞,傾乕僇僀僽(惉栺),柍,600000,,奒,1984擭04寧,晉揷椦巗拞栰挰搶1挌栚偺戄岺応亂66捸亃,,戝嶃晎晉揷椦巗拞栰挰搶侾挌栚7-43,,,,,5.00,,,,221.00,66.85,8975,2025/10/07,"2025/09/24 13:04","2025/12/16 14:10",愭暔(拠夘),,儔僥丒僄僗僥乕僩乮姅乯娭栚揦,-,"=""06-6955-5833""",,,5840022
憅屔,R00175-015053,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,350000,,奒,1980擭12寧,搶戝嶃巗攼揷惣3挌栚偺戄憅屔亂77捸亃,,戝嶃晎搶戝嶃巗攼揷惣俁挌栚9-23,,,,,1500000,500000,,,255.60,77.31,4527,2025/10/07,"2025/10/07 13:39","2025/12/16 14:00",愭暔(拠夘),,(姅)憗愳彜揦,-,"=""06-6271-2571""",柍,,5770835
岺応,R00175-014800,,,,嬻,傾乕僇僀僽(惉栺),柍,880000,,奒,-,戝嶃巗廧媑嬫悪杮1挌栚偺戄岺応亂231捸亃,,戝嶃晎戝嶃巗廧媑嬫悪杮侾挌栚7-25,,,5000000,,,,,383.47,765.47,231.55,3801,2025/10/20,"2025/06/13 13:17","2025/12/16 13:58",愭暔(拠夘),,擔寶僴僂僕儞僌乮姅乯,-,"=""072-289-1199""",柍,,5580022
憅屔,R00175-014979,,,,,傾乕僇僀僽(惉栺),柍,550000,,奒,-,戝嶃巗搶廧媑嬫崱愳6挌栚偺戄憅屔,,戝嶃晎戝嶃巗搶廧媑嬫崱愳俇挌栚4-4,,,1000000,1100000,,,,,,,,2025/09/03,"2025/09/03 11:33","2025/12/16 13:58",愭暔(拠夘),,偨偗堜,-,"=""06-6312-2025""",嬻桳,仸寶暔柺愊側偳晄柧丅妋擣偍婅偄偟傑偡丅,5460003
揦曑帠柋強(寶暔堦妵),R00175-014351,,,,嬻,傾乕僇僀僽(惉栺),柍,440000,,奒,2000擭09寧,暫屔導昉楬巗忺杹嬫栰揷挰偺戄揦曑丒帠柋強亂42捸亃,,暫屔導昉楬巗忺杹嬫栰揷挰28-1,,,400000,880000,,,,,139.91,42.32,10397,2025/10/24,"2024/11/19 14:23","2025/12/16 13:52",愭暔(拠夘),,撉攧晄摦嶻乮姅乯,-,"=""06-7732-0054""",嬻桳,,6728040
揦曑(寶暔堦妵),R00175-013857,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,330000,,奒,1990擭11寧,暫屔導桲曐孲懢巕挰攏応偺戄揦曑亂146捸亃,,暫屔導桲曐孲懢巕挰攏応90-1,,,2000000,,,1000000,,1096.24,483.33,146.2,2258,2025/10/23,"2024/03/22 13:29","2025/12/16 13:50",愭暔(拠夘),,旤徏儂乕儉乮姅乯,-,"=""079-277-3366""",嬻桳,"2025.3.31丂捓椏曄峏 35.2枩仺33枩",6711551
憅屔,R00175-015063,,,,嬻,傾乕僇僀僽(惉栺),柍,800000,,奒,2000擭09寧,暫屔導恄屗巗搶撳嬫廧媑媨挰5挌栚偺戄憅屔亂93捸亃,,暫屔導恄屗巗搶撳嬫廧媑媨挰俆挌栚4-15,,,,1.00,3.00,,,383.77,308.70,93.38,8567,2025/10/20,"2025/10/10 11:15","2025/12/16 13:41",愭暔(拠夘),,乮姅乯俴倎倫倢倳倱,-,"=""06-4400-0142""",嬤桳,,6580053
憅屔,R00175-014752,,,,嬻,傾乕僇僀僽(惉栺),柍,1430000,,奒,1978擭02寧,暫屔導昉楬巗拞抧撿挰偺戄憅屔亂497捸亃,,暫屔導昉楬巗拞抧撿挰146,,,,,3900000,,,2581.37,1643.34,497.11,2877,2025/10/10,"2025/05/29 14:32","2025/12/16 13:37",愭暔(拠夘),,乮姅乯傒偳傝晄摦嶻,-,"=""079-221-5225""",嬻桳,"2025.9.17
丒捓椏丗165枩墌仺143枩墌",6700975
憅屔,R00175-014308,,,,寶抸拞,傾乕僇僀僽(惉栺),柍,5500000,,奒,-,暫屔導幊埦巗嶳嶈挰屼柤偺戄憅屔亂914捸亃,,暫屔導幊埦巗嶳嶈挰屼柤,,,,,,,,6753.00,3024.00,914.76,6013,2025/10/20,"2024/11/07 13:09","2025/12/16 13:22",愭暔(拠夘),,乮姅乯僼傽乕僗僩彜帠,-,"=""0790-62-0001""",,"暔妋FAX憲晅嵪 2025.2.6摗尨
072-268-2039
丒応強丗僌乕僌儖儅僢僾偱偼丄屼柤3415乮僇儔僢僩嶳嶈揦乯偺摴楬嫴傫偱惣懁偁偨傝",6712554
揦曑(寶暔堦妵),R00175-014984,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,1045000,,奒,2023擭12寧,嫗搒晎嫗搒巗惣嫗嬫戝巬孊妡挰偺戄揦曑亂67捸亃,,嫗搒晎嫗搒巗惣嫗嬫戝巬孊妡挰10-2,,,,,,,,,223.59,67.63,15451,2025/10/02,"2025/09/05 13:01","2025/12/16 10:43",愭暔(拠夘),,乮姅乯僥儞億僗僼傿僫儞僔儍儖僩儔僗僩,-,"=""03-3525-4070""",嬻桳,,6101106
揦曑(寶暔堦妵),R00175-014226,,,,嫃廧拞,傾乕僇僀僽(惉栺),柍,495000,,奒,2000擭01寧,暫屔導桲曐孲懢巕挰懢揷偺戄揦曑亂160捸亃,,暫屔導桲曐孲懢巕挰懢揷2220,,,800000,800000,,,,859.27,530.35,160.43,3086,2025/10/20,"2024/09/30 11:34","2025/12/16 10:40",愭暔(拠夘),,乮姅乯拞搱晄摦嶻,-,"=""079-240-5058""",嬻桳,"2025.8.4丂
丒捓椏丗62.7枩墌仺49.5枩墌
丒晘嬥丗107枩墌仺80枩墌
丒楃嬥丗150枩墌仺80枩墌

1奒丄2奒丄3奒丄暿乆偱攧傞偙偲傕専摙拞丅",6711511
揦曑(寶暔堦晹),R00175-014693,,,,,傾乕僇僀僽(惉栺),柍,506000,,奒,2025擭10寧,嶄巗杒嬫拞懞挰偺戄揦曑亂35捸亃,,戝嶃晎嶄巗杒嬫拞懞挰465-1,,,8.00,,,,,4880.31,116.20,35.15,14396,2025/10/20,"2025/05/09 13:31","2025/12/16 10:33",愭暔(拠夘),,僥儞億僗僞僀儖乮姅乯,-,"=""072-726-5201""",嬻桳,,5918012
